0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
[17014],[9912],[22205],[18733],[5419],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[23316],[3416],[13349],[6360],[12601],[10543],[26537],[12134],[1977],[11607],[16822],[17015],[2239],[14165],,,,,,,,,,,,,,,,,,,,,,,
[26798],[18011],[9032],[2153],[6408],[5049],[23736],[11903],[17410],,,,,,,,,,,,,,,,,,,,,,,,,,,,
[24612],[7585],[13569],[18968],[34381],[31740],[33869],[31501],[22418],[1042],[8931],,,,,,,,,,,,,,,,,,,,,,,,,,
[18629],[27100],[24765],[18629],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[30939],[10814],[12038],[15295],[15298],[29216],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2632],[28091],[33092],[32858],[27945],[18367],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[28529],[19429],[24455],[1261],[32321],[29993],[31412],[18367],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13021],[22933],[19432],[24841],[27570],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13569],[10554],[7585],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[23316],[33985],[21485],[12728],[21483],[18968],[219],[19405],[23316],[18324],[10419],[11438],[26297],[22554],,,,,,,,,,,,,,,,,,,,,,,
[21190],[5260],[33410],[24448],[4758],[10096],[7311],[18273],[8236],,,,,,,,,,,,,,,,,,,,,,,,,,,,
[855],[31501],[10138],[24197],[13735],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[26297],[10755],[21636],[15796],[10446],[26810],[23053],[1977],[31710],[12135],[11438],[28184],[5381],[10989],,,,,,,,,,,,,,,,,,,,,,,
[13593],[20159],[9035],[5939],[33795],[8325],[22757],[24614],[31627],[12777],[2168],,,,,,,,,,,,,,,,,,,,,,,,,,
[32592],[5201],[21062],[28807],[17864],[21213],[34867],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4375],[8659],[4375],[8310],[34074],[33593],[33457],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[31990],[7411],[26321],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[22303],[34629],[30809],[23577],[9748],[8723],[34142],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[22181],[5133],[33499],[14512],[32991],[17933],[29582],[34657],[5909],,,,,,,,,,,,,,,,,,,,,,,,,,,,
[30964],[30043],[30964],[24183],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10927],[10970],[3745],[34657],[1995],[3770],[22381],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[35231],[16998],[10446],[13593],[9197],[21006],[10446],[23860],[26481],[1561],,,,,,,,,,,,,,,,,,,,,,,,,,,
[17784],[28685],[21178],[9536],[7585],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[20124],[27745],[3170],[3170],[28586],[27370],[33869],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[18439],[9251],[3538],[11257],[13177],[12084],[15771],[3486],[3538],[2430],,,,,,,,,,,,,,,,,,,,,,,,,,,
[947],[24183],[414],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[20073],[18367],[32471],[30450],[32471],[31501],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[34117],[15064],[28807],[12655],[34793],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10692],[3551],[15002],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2935],[22769],[17784],[17015],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[12341],[25443],[25881],[33213],[11749],[24882],[24354],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3170],[12866],[21769],[16303],[3170],[23473],[18367],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6362],[665],[11012],[31501],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[17650],[2741],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[30961],[30053],[18367],[35356],[33822],[8650],[4828],[30550],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[27225],[23853],[2391],[23634],[23592],[3048],[2801],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[17663],[10857],[18367],[23209],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13569],[7585],[25393],[33216],[10561],[7585],[25393],[34688],[14502],[33224],,,,,,,,,,,,,,,,,,,,,,,,,,,
[1606],[31516],[2059],[1606],[10512],[20196],[29801],[15539],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[33869],[27443],[35096],[34884],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13569],[34638],[6414],[26259],[19841],[17484],[22532],[34638],[19841],,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5638],[13137],[17347],[23368],[27966],[33175],[5641],[33381],[5640],,,,,,,,,,,,,,,,,,,,,,,,,,,,
[25443],[7446],[26396],[24431],[29764],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[25482],[14585],[10713],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[34301],[332],[19928],[24000],[27983],[30162],[20869],[4082],[1042],[10032],,,,,,,,,,,,,,,,,,,,,,,,,,,
[16160],[26259],[5339],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5146],[10014],[18968],[23847],[10560],[26475],[10554],[7585],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[30146],[13569],[14509],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[34177],[9921],[4570],[3492],[11349],[26704],[1561],[18527],[24679],[13046],,,,,,,,,,,,,,,,,,,,,,,,,,,
[12728],[20288],[16400],[2745],[31982],[34973],[31116],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[18650],[14500],[17864],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[21220],[4167],[1578],[10102],[2004],[28787],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[20500],[29778],[13545],[11230],[11012],[22554],[27940],[8426],[32429],[34978],[22235],,,,,,,,,,,,,,,,,,,,,,,,,,
[10786],[26858],[5255],[12908],[5843],[32331],[23979],[25399],[10786],[19582],,,,,,,,,,,,,,,,,,,,,,,,,,,
[170],[11012],[30900],[24743],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[27384],[24587],[32494],[17490],[23986],[10964],[936],[21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[34751],[27511],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[14015],[34177],[23316],[4645],[23316],[25143],[14854],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[19740],[27998],[31627],[25756],[30485],[23986],[20869],[4651],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[28815],[25254],[4226],[25254],[2339],[12701],[29732],[10741],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13039],[4891],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[8039],[15442],[17507],[28978],[15231],[33709],[5077],[20373],[4712],,,,,,,,,,,,,,,,,,,,,,,,,,,,
[899],[32911],[1042],[15457],[18641],[19528],[34218],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4960],[13277],[34731],[13934],[4570],[30450],[13277],[6579],[34502],[29573],[3345],[19133],[30891],[12312],[34719],,,,,,,,,,,,,,,,,,,,,,
[32900],[24278],[19826],[13805],[3648],[901],[13827],[23209],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[34608],[33891],[12597],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10471],[1977],[23784],[10422],[19503],[14702],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[25443],[25762],[31710],[21220],[20614],[21220],[33224],[18254],[1215],[19735],[21317],[33690],[13263],,,,,,,,,,,,,,,,,,,,,,,,
[20159],[21501],[5281],[10927],[12312],[27370],[11942],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[33684],[21220],[9818],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[22170],[21430],[18218],[21483],[28588],[25631],[33129],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[31284],[15257],[23316],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[35023],[25544],[129],[17686],[19236],[2114],[22116],[12794],[14163],,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7554],[26243],[3225],[1561],[8948],[28829],[23853],[13263],[32887],[9726],[4712],[29931],[19518],,,,,,,,,,,,,,,,,,,,,,,,
[22287],[18527],[29380],[33737],[16077],[34638],[12341],[34638],[8686],[6815],[19518],,,,,,,,,,,,,,,,,,,,,,,,,,
[911],[14391],[22303],[7585],[12312],[14605],[31288],[12712],[20823],[13542],[1320],[28861],,,,,,,,,,,,,,,,,,,,,,,,,
[20073],[18367],[32471],[30450],[32471],[31501],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6804],[27618],[10543],[20859],[16107],[12459],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[14659],[14659],[7585],[9346],[23301],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[23422],[12173],[12312],[27943],[6620],[14275],[11865],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[32177],[28056],[24296],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[32181],[4651],[22049],[26009],[22554],[27941],[3897],[23979],[34982],[30481],[5270],,,,,,,,,,,,,,,,,,,,,,,,,,
[18218],[20917],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5845],[2403],[16477],[11667],[14046],[3504],[28126],[12681],[11446],,,,,,,,,,,,,,,,,,,,,,,,,,,,
[12669],[17161],[31697],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[30964],[12728],[11713],[30964],[24183],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[29500],[34749],[13779],[1561],[10333],[5640],[12713],[10333],[18968],[8081],[24354],,,,,,,,,,,,,,,,,,,,,,,,,,
[25544],[8321],[4570],[33497],[29254],[2219],[10265],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[23853],[33246],[13636],[5906],[26297],[33175],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[35023],[35023],[35023],[14937],[28800],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[29993],[33869],[25805],[14832],[34533],[29999],[29993],[19116],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[15644],[17945],[272],[25143],[1042],[25165],[24278],[25164],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[22303],[2847],[18218],[18324],[5119],[25590],[30971],[1392],[20614],,,,,,,,,,,,,,,,,,,,,,,,,,,,
[19176],[28836],[20615],[33857],[26309],[281],[7446],[33267],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[20065],[22049],[3345],[4059],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[29045],[4059],[25676],[6233],[3504],[28126],[12681],[11446],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[947],[13813],[2866],[7169],[13827],[901],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[20073],[18367],[32471],[30450],[32471],[31501],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[34638],[22176],[23705],[11341],[14909],[15530],[28519],[18367],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[31777],[1170],[1174],[18733],[4019],[858],[18212],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[17325],[24084],[26233],[8686],[23603],[13337],[19504],[11466],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6747],[24002],[2589],[5884],[25163],[1139],[24002],[2589],[5884],[25163],[24002],[2589],[18091],[6068],[23790],[18263],,,,,,,,,,,,,,,,,,,,,
[12335],[1139],[20644],[1676],[20500],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13569],[28599],[33506],[11396],[11396],[28588],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[11683],[19928],[11740],[25013],[29934],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[21584],[17363],[32888],[17337],[33069],[29710],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[11174],[15504],[15551],[27401],[27541],[11708],[28529],[3346],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[26798],[3965],[25249],[7585],[34789],[30738],[11280],[3293],[13392],[19711],,,,,,,,,,,,,,,,,,,,,,,,,,,
[34973],[21220],[4517],[18816],[24483],[16247],[4517],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[8944],[14165],[10763],[20252],[26358],[25412],[34028],[20252],[16875],[8944],[7007],[25885],[1151],,,,,,,,,,,,,,,,,,,,,,,,
[458],[18733],[16106],[9803],[11865],[5083],[18367],[29647],[31682],,,,,,,,,,,,,,,,,,,,,,,,,,,,
[23316],[24737],[32181],[25969],[32181],[11840],[1042],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[21062],[10942],[33737],[29053],[31501],[911],[19826],[3897],[13321],,,,,,,,,,,,,,,,,,,,,,,,,,,,
[32821],[28685],[1069],[23569],[14909],[17882],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1315],[17014],[7542],[8639],[10624],[2667],[6715],[9524],[27717],[8395],[26239],,,,,,,,,,,,,,,,,,,,,,,,,,
[29790],[18880],[9997],[24979],[26785],[15545],[32471],[12669],[30450],,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2962],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[15164],[31282],[9726],[17784],[19279],[17784],[27905],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13569],[3170],[5625],[13021],[232],[14633],[5626],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13850],[31371],[24339],[12597],[23316],[20589],[12136],[21485],[11230],,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7904],[13266],[21220],[676],[21226],[15293],[13266],[9253],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[26120],[17961],[24581],[30939],[33807],[27532],[6261],[18973],[33869],,,,,,,,,,,,,,,,,,,,,,,,,,,,
[30547],[33863],[28469],[3504],[28126],[12681],[11446],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[24483],[2148],[3170],[33891],[10471],[34723],[10009],[3214],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3453],[34644],[26758],[2935],[17483],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13550],[23784],[9165],[8432],[8422],[18782],[8427],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[16905],[1033],[14642],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[11510],[10105],[3410],[13396],[21546],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[18573],[17986],[2632],[2935],[11708],[28184],[947],[33381],[18573],[18573],[18573],[18573],,,,,,,,,,,,,,,,,,,,,,,,,
[20822],[13827],[11614],[9374],[24434],[19586],[19405],[9374],[29598],[23068],[31159],,,,,,,,,,,,,,,,,,,,,,,,,,
[17014],[34929],[568],[12669],[17014],[18367],[6238],[32217],[10375],,,,,,,,,,,,,,,,,,,,,,,,,,,,
[35023],[4645],[19697],[12852],[25167],[18218],[31364],[3345],[23316],,,,,,,,,,,,,,,,,,,,,,,,,,,,
[21228],[32887],[34978],[33506],[27983],[29254],[34978],[26704],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[15667],[4175],[4570],[33677],[21171],[20063],[24864],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4465],[32930],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13752],[8193],[29864],[30856],[18526],[28464],[34733],[33593],[32471],[33737],[16510],[4503],,,,,,,,,,,,,,,,,,,,,,,,,
[28484],[13505],[27983],[2406],[24584],[17780],[16998],[12035],[29861],,,,,,,,,,,,,,,,,,,,,,,,,,,,
[12728],[20288],[11683],[10026],[33869],[12770],[11683],[12459],[18367],[11230],,,,,,,,,,,,,,,,,,,,,,,,,,,
[5241],[21],[5764],[24910],[8976],[7502],[24765],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[31878],[27500],[7752],[6399],[22554],[12136],[10419],[35307],[12136],[6261],[13771],[31818],,,,,,,,,,,,,,,,,,,,,,,,,
[21220],[27443],[13321],[19270],[5293],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[27039],[455],[5455],[19453],[11713],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[20073],[18367],[32471],[30450],[32471],[31501],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[28729],[21996],[1042],[3694],[3520],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2006],[34973],[12728],[3267],[3719],[3267],[3719],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7581],[20220],[27378],[18044],[10096],[33171],[29934],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13569],[3170],[27726],[26407],[33725],[3170],[27726],[33725],[1889],[7010],,,,,,,,,,,,,,,,,,,,,,,,,,,
[23979],[22303],[10964],[19804],[23981],[26259],[2114],[16250],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[26798],[13845],[1218],[27088],[19303],[20391],[23848],[22303],[32429],[17478],[34235],,,,,,,,,,,,,,,,,,,,,,,,,,
[12669],[6074],[31710],[22181],[35023],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[32471],[31288],[17864],[12620],[6211],[12620],[16716],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[30892],[6510],[26267],[1237],[10111],[25970],[1382],[21937],[13277],[6579],[19411],,,,,,,,,,,,,,,,,,,,,,,,,,
[12568],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[26798],[13544],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10026],[10032],[26798],[31648],[858],[10955],[7467],[18212],[10254],[7975],[13427],[13426],,,,,,,,,,,,,,,,,,,,,,,,,
[19760],[29159],[23376],[12728],[10070],[21062],[24723],[34648],[34469],[9973],[9967],[25841],,,,,,,,,,,,,,,,,,,,,,,,,
[1139],[3293],[29449],[2148],[24535],[3293],[29449],[2148],[24535],[3297],[31501],[24212],,,,,,,,,,,,,,,,,,,,,,,,,
[5360],[15257],[18733],[13021],[19518],[13021],[23316],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[27086],[27840],[17347],[21483],[26839],[26297],[4887],[25482],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[14100],[875],[3499],[1648],[22303],[22832],[8239],[25084],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[8112],[21333],[13771],[12655],[33201],[10419],[22554],[13775],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13555],[29371],[1577],[19032],[31989],[19093],[17544],[26691],[13555],[25122],[15481],,,,,,,,,,,,,,,,,,,,,,,,,,
[26815],[33740],[13805],[194],[901],[13827],[13811],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6967],[26259],[2621],[18901],[31438],[34638],[15907],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[33822],[21976],[33822],[33831],[18367],[11438],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[18263],[11484],[1802],[5713],[15796],[6414],[1042],[34680],[6869],[22319],,,,,,,,,,,,,,,,,,,,,,,,,,,
[10927],[25419],[11336],[32415],[11335],[14753],[29660],[31697],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[34633],[25131],[11607],[32471],[32900],[9521],[6733],[33117],[110],[14585],[18367],[341],[30776],,,,,,,,,,,,,,,,,,,,,,,,
[6789],[33985],[17347],[34978],[27370],[23316],[4111],[3696],[29265],[1042],[6176],[10032],[11396],,,,,,,,,,,,,,,,,,,,,,,,
[30964],[5049],[30964],[24183],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[31501],[9220],[2175],[30241],[7824],[18633],[13555],[18367],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[15051],[17439],[25115],[18367],[13555],[20342],[29848],[16410],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[19740],[17766],[17766],[28275],[17749],[24040],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[12597],[24008],[3067],[26621],[3363],[3649],[18044],[18367],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1788],[4375],[12035],[25482],[31288],[13779],[9612],[1561],[5737],[28068],,,,,,,,,,,,,,,,,,,,,,,,,,,
[14749],[911],[16710],[10256],[3864],[2249],[21526],[24445],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[21630],[4375],[8659],[4375],[8310],[34074],[33593],[34103],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4359],[24002],[2589],[5884],[25163],[1139],[24002],[2589],[5884],[25163],[24002],[2589],[18091],[6068],[23790],[18252],,,,,,,,,,,,,,,,,,,,,
[33593],[25666],[20172],[17105],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13771],[22554],[26259],[32177],[15077],[6761],[9199],[13544],[1324],,,,,,,,,,,,,,,,,,,,,,,,,,,,
[877],[245],[7269],[29934],[23558],[29982],[13396],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[27388],[17864],[23784],[215],[20226],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[22235],[33647],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[29094],[24183],[414],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[30964],[9761],[30964],[24183],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[28001],[32177],[2148],[4126],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4570],[33497],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[13569],[18968],[29848],[20073],[9780],[29013],[10814],[11667],[6424],,,,,,,,,,,,,,,,,,,,,,,,,,,,
[12007],[20134],[7585],[16836],[3283],[18589],[5540],[18941],[3276],,,,,,,,,,,,,,,,,,,,,,,,,,,,
[25482],[30465],[23735],[1139],[12655],[27983],[32995],[6317],[32944],[20301],,,,,,,,,,,,,,,,,,,,,,,,,,,
[30450],[31976],[980],[33412],[13677],[33412],[33412],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10561],[7585],[947],[7363],[12487],[20500],[10419],[9726],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[18788],[25482],[34638],[901],[13811],[13827],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[27338],[26839],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[28519],[28519],[9388],[31784],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4107],[27570],[16781],[3964],[31627],[7257],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[27246],[19928],[28174],[28841],[24247],[27908],[32035],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[33737],[31779],[4456],[650],[34177],[20614],[4954],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[20073],[18367],[32471],[30450],[32471],[31501],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[12728],[7585],[21220],[2720],[4084],[11356],[1042],[2717],[10790],[2114],[4721],[8988],[29362],[1042],[20391],,,,,,,,,,,,,,,,,,,,,,
[11973],[17160],[25950],[24697],[22103],[29934],[17784],[10422],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[33593],[30648],[18367],[17864],[21190],[10761],[25119],[25122],[18367],[22867],[12459],[3918],[10512],[10713],,,,,,,,,,,,,,,,,,,,,,,
[30964],[30964],[24183],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[22287],[7597],[17552],[6777],[21663],[4570],[33497],[6176],[19769],,,,,,,,,,,,,,,,,,,,,,,,,,,,
[29560],[26562],[8686],[31501],[5948],[7597],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[25505],[32429],[23316],[29394],[31648],[12487],[28807],[21577],[9513],[14402],[13055],[7585],,,,,,,,,,,,,,,,,,,,,,,,,
[21190],[17014],[19740],[7112],[33528],[4534],[20130],[26233],[18367],[7112],[7549],[14377],[1364],,,,,,,,,,,,,,,,,,,,,,,,
[11708],[12866],[9690],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[7597],[17551],[9636],[5796],[34956],[26341],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[31438],[19303],[33677],[27088],[21085],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[17573],[24183],[414],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[32711],[29378],[980],[26049],[34688],[31288],[24767],[26259],[10990],,,,,,,,,,,,,,,,,,,,,,,,,,,,
[14220],[22418],[8747],[34533],[34533],[21430],[31282],[9997],[32230],[7945],,,,,,,,,,,,,,,,,,,,,,,,,,,
[12728],[33869],[28001],[30964],[3453],[16184],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[12728],[13771],[13932],[10026],[911],[27385],[22303],[12335],[14585],[4519],,,,,,,,,,,,,,,,,,,,,,,,,,,
[13550],[2069],[15984],[10009],[7269],[28529],[2077],[2632],[21461],[3453],[34881],,,,,,,,,,,,,,,,,,,,,,,,,,
